Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
23952,8.4,318,62,10,8,20,6,0,0,0,19,6,-6006,0
26908,9,368,59,13,20,11,2,0,0,0,20,12,-1944,0
28852,8.8,396,98,11,9,13,7,1,2,0,23,7,1944,1
25125,8.6,345,71,7,6,17,8,2,0,0,18,11,-4251,0
29376,9.4,349,104,17,24,7,6,0,2,0,26,6,4251,1
27785,8.2,318,75,16,19,16,5,1,1,0,25,6,304,0
27481,8.8,325,80,16,19,16,3,0,0,0,22,9,-304,1
23611,8,291,59,7,10,15,2,0,0,0,25,8,-4046,0
27657,8.6,347,88,15,18,7,8,1,1,0,24,7,4046,1
30107,9.2,369,71,16,19,18,5,1,0,0,25,6,1446,1
28661,9.2,336,92,18,24,16,3,0,1,0,23,7,-1446,0
27948,8.8,370,78,13,9,15,10,1,0,0,24,7,1910,0
26038,8.6,314,79,15,23,13,0,0,2,0,23,7,-1910,1
24617,8.8,345,97,8,13,18,1,0,1,0,28,5,-5793,0
30410,9.6,366,102,18,14,8,5,2,0,0,18,9,5793,1
28913,9,274,91,25,25,9,4,1,2,0,26,5,1800,1
27113,8.6,381,71,9,6,25,10,2,0,0,24,4,-1800,0
26574,8.6,309,72,15,21,20,0,0,0,0,24,1,-4678,0
31252,9,365,68,20,24,15,9,2,1,0,22,7,4678,1
24503,8.6,316,69,9,14,13,4,1,1,0,20,6,-4559,1
29062,9.2,364,89,13,16,9,8,1,0,0,24,8,4559,0
25841,8.4,335,60,11,12,15,4,0,0,0,24,6,-2241,0
28082,9.2,378,78,15,10,11,4,1,1,0,24,8,2241,1
21886,8.2,296,68,8,5,10,1,0,0,0,21,4,-6089,0
27975,9,379,81,10,11,8,10,3,2,0,20,2,6089,1
27680,8.8,333,68,14,20,26,3,0,0,0,19,3,-7782,0
35462,9.6,360,91,26,29,14,10,3,1,0,23,9,7782,1
26033,8.8,344,89,12,16,9,3,0,1,0,21,7,1969,1
24064,8.4,367,67,9,10,12,3,0,0,0,22,3,-1969,0
22702,8.2,297,82,8,8,16,1,0,1,0,19,7,-8467,0
31169,9.4,364,91,16,19,8,5,2,1,0,24,7,8467,1
23290,8.6,331,59,8,6,11,2,0,1,0,18,5,-3413,0
